,Unnamed: 0,datetime,open,high,low,close,volume
0,0,2023-10-05 09:15:00,44181.4,44264.95,44145.4,44254.4,0
1,1,2023-10-05 09:20:00,44255.6,44274.25,44202.8,44238.9,0
2,2,2023-10-05 09:25:00,44237.6,44245.3,44208.15,44222.0,0
3,3,2023-10-05 09:30:00,44221.4,44249.05,44206.0,44235.9,0
4,4,2023-10-05 09:35:00,44233.4,44270.75,44217.65,44229.1,0
5,5,2023-10-05 09:40:00,44227.6,44274.7,44227.65,44264.0,0
6,6,2023-10-05 09:45:00,44264.9,44273.25,44239.4,44239.4,0
7,7,2023-10-05 09:50:00,44239.1,44243.85,44214.05,44240.9,0
8,8,2023-10-05 09:55:00,44239.3,44262.6,44232.8,44234.2,0
9,9,2023-10-05 10:00:00,44233.8,44236.7,44199.5,44200.4,0
